Safad , Akka , 54.0
Safad , Tiberias , 41.4
Akka , Tiberias , 60.1
Akka , Nazareth , 41.0
Akka , Haifa , 25.9
Tiberias , Nazareth , 31.8
Tiberias , Baysan , 40.0
Nazareth , Haifa , 39.7
Nazareth , Baysan , 37.5
Nazareth , Jenin , 31.3
Haifa , Jenin , 61.2
Haifa , Tulkarem , 83.1
Baysan , Jenin , 45.0
Baysan , Nablus , 35.0
Jenin , Nablus , 30.0
Nablus , Tulkarem , 43.0
Nablus , Ramallah , 32.0
Nablus , Jerusalem , 46.0
Tulkarem , Allyd , 50.0
Tulkarem , Jaffa , 58.0
Jaffa , Allyd , 7.0
Jaffa , Ramla , 16.0
Ramallah , Jerusalem , 10.0
Ramallah , Allyd , 53.0
Ramla , Allyd , 9.0
Allyd , Jerusalem , 31.0
Jerusalem , Hebron , 32.0
Ramla , Hebron , 60.0
